2023-03-09 20:17:55,711	log_infos      	1040	INFO    	39412:	Explanation
#######################	###############	####	########	######	###########################################
YYYY-MM-DD HH:MM:SS,mmm	function name  	 lNr	level   	  PID:	Message (lNr: line number, PID: Process ID)
#######################	###############	####	########	######	###########################################

2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	percent motile plot max: 100.0
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	acr violin plot min: 0.0
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	acr violin plot max: 1.0
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	log to file: True
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	log file path: ./logfile.log
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	shorten displayed logging output: False
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	shorten logfile logging output: False
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	set logging level (debug/info/warning/critical): debug
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	log_level: 10
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	verbose: True
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	include luminosity in tracking calculation: False
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	color filter: 6
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	minimal frame count: 20
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	stop evaluation on error: False
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	list save length interval: 10000
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	save video file extension: .mp4
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	save video fourcc codec: mp4v
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	adaptive double threshold: 2.0
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	maximal consecutive holes: 5
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	maximal empty frames in %: 1.05
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	percent quantiles excluded area: 0.1
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	try to omit motility outliers: True
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	stop excluding motility outliers if total count above percent: 0.05
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	exclude measurement when above x times average area: False
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	average width/height ratio min.: 0.125
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	average width/height ratio max.: 0.67
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	percent of screen edges to exclude: 0.05
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	maximal recursion depth: 960
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	limit track length exactly: False
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	compare angle between n frames: 10
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	force tracking.ini fps settings: False
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	disable gsff: False
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	number of LSFFs: 3
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	minimum horizon size: 0
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	maximum horizon size: 30
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	previous directory: ./
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	shut down after analysis: False
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	debugging: True
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	path to test video: ./video/SIM+.avi
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	tracking_ini_filepath: D:\Projects\YSMR_CellSeg\swarm_setting.ini
2023-03-09 20:20:05,069	log_infos      	1124	DEBUG   	38676:	perc_motile_warning: False
2023-03-09 20:20:05,095	create_results_	 392	INFO    	38676:	Results folder: D:\Projects\YSMR_CellSeg\video\2303092020_Results
2023-03-09 20:20:05,095	ysmr           	 233	INFO    	38676:	Path: ./video/SIM+.avi
2023-03-09 20:20:05,096	analyse        	  59	DEBUG   	38676:	Starting process. PID: 38676
